ID,ImageID,OTUID,Assemblage,CSize,B1a_raw,B2a_raw,B3a_raw,L1a_raw,L2a_raw,L3a_raw,L4a_raw,Pp_raw,B2p_raw,B3p_raw,L2p_raw,L3p_raw,L4p_raw,B1a_cor,B2a_cor,B3a_cor,L1a_cor,L2a_cor,L3a_cor,L4a_cor,Pp_cor,B2p_cor,B3p_cor,L2p_cor,L3p_cor,L4p_cor
1236,4752,51,West Runton Freshwater Bed,1786,54,53,60,57,67,69,77,76,73,68,72,75,77,71.8,69.76,71.57,72.1,81.03,82.03,88.61,92.61,100.76,91.8,96.72,95.86,97.64
1235,4760,51,West Runton Freshwater Bed,1686,44,50,54,59,59,63,65,68,70,63,72,69,68,69.28,73.8,70.44,80.45,78.92,81.5,81.49,91.59,109.43,96.79,107.1,98.63,97.31
1234,4776,51,West Runton Freshwater Bed,1887,52,51,47,55,48,57,51,69,83,61,77,85,69,62.25,60.65,53.66,63.69,56.08,64.5,57.68,78.56,98.98,74.7,91.23,97.01,80.88
1233,4739,51,West Runton Freshwater Bed,1748,39,48,52,47,43,43,39,55,54,42,43,51,50,59.65,67.44,65.42,64.51,59.27,58.11,52.46,74.26,86.19,69.6,71.66,75.19,73.93
1232,4748,51,West Runton Freshwater Bed,1734,49,53,46,58,56,48,50,73,56,61,56,57,67,70.69,73.42,60.1,76.4,73.09,63.88,64.14,93.24,89.83,90.0,86.12,82.42,92.15
1231,4756,51,West Runton Freshwater Bed,1806,61,60,72,64,66,57,63,75,78,69,73,80,75,77.31,75.35,82.6,77.83,78.85,68.93,73.63,90.21,103.43,90.8,95.64,99.11,93.9
1230,4764,51,West Runton Freshwater Bed,1758,59,63,66,75,76,72,64,75,68,70,72,79,72,78.9,81.73,78.94,91.88,91.68,86.56,76.97,93.56,99.03,96.6,99.62,102.32,95.07
1229,4779,51,West Runton Freshwater Bed,1792,50,59,59,63,60,58,70,86,83,69,91,90,81,67.35,75.34,70.28,77.72,73.67,70.7,81.32,102.19,110.06,92.2,115.09,110.34,101.12
1228,4743,51,West Runton Freshwater Bed,1686,52,43,54,43,57,58,49,58,58,49,57,54,58,77.28,66.8,70.44,64.45,76.92,76.5,65.49,81.59,97.43,82.79,92.1,83.63,87.31
1227,4751,51,West Runton Freshwater Bed,1883,59,58,59,66,67,67,63,82,86,83,82,85,89,69.55,67.93,65.86,74.95,75.31,74.72,69.88,91.84,102.45,97.1,96.64,97.36,101.23
